=== QUALIFYING ===
1,MDR Wolf,MDR Wolf,Cadillac,01:28.637
2,PortelaReis,Reis Portela,Red Bull,01:28.683
3,DUTsrPaiva,DUT Paiva,Williams,01:28.841
4,VITOR.SFA,SFA Vitor,Aston Martin,01:28.884
5,Leandro-Manowar,Leandro Manowar,Ferrari,01:28.975
6,URL_Anjo,URL Anjo,McLaren,01:29.010
7,DUT_ANDRE19,DUT andre,Williams,01:29.156
8,BZK_Well,BZK Catonho,Ferrari,01:29.433
9,DUT_NETOGASPAR,DUT Neto,Alpine,01:29.714
10,Jerbs,Jerbs,Red Bull,01:29.731
11,URL_Galego,URL Galego,McLaren,01:29.793
12,MDR-CALIXTO84,MDR Calixto,Cadillac,01:29.822
13,romoreira301065,Romoreira,Mercedes,01:29.915
14,BGR0910,Bruno,Haas,01:30.024
15,MDR-POGGIALI,MDR Poggiali,Aston Martin,01:30.109
16,I_____GW_____I,GW,Racing Bulls,01:30.218
17,RS_Salgueiro,Salgueiro,Mercedes,01:30.439
18,EL_ChavoMoreno,Wesley Chaves,Racing Bulls,01:30.728
19,BORTOLETO,Unknown,Audi,No time
20,HULKENBERG,Unknown,Audi,No time
21,COLAPINTO,Unknown,Alpine,No time
22,BEARMAN,Unknown,Haas,No time

=== RACE ===
1,DUTsrPaiva,DUT Paiva,Williams,01:31.452,0
2,MDR Wolf,MDR Wolf,Cadillac,01:31.940,1
3,Leandro-Manowar,Leandro Manowar,Ferrari,01:31.412,0
4,URL_Anjo,URL Anjo,McLaren,01:31.575,0
5,DUT_ANDRE19,DUT andre,Williams,01:31.781,0
6,BZK_Well,BZK Catonho,Ferrari,01:32.083,1
7,PortelaReis,Reis Portela,Red Bull,01:32.250,1
8,VITOR.SFA,SFA Vitor,Aston Martin,01:31.769,0
9,Jerbs,Jerbs,Red Bull,01:32.546,0
10,URL_Galego,URL Galego,McLaren,01:31.660,0
11,romoreira301065,Romoreira,Mercedes,01:32.720,1
12,RS_Salgueiro,Salgueiro,Mercedes,01:33.239,0
13,MDR-POGGIALI,MDR Poggiali,Aston Martin,01:33.639,0
14,MDR-CALIXTO84,MDR Calixto,Cadillac,01:31.608,0
15,I_____GW_____I,GW,Racing Bulls,01:33.155,1
16,EL_ChavoMoreno,Wesley Chaves,Racing Bulls,01:34.055,1
17,DUT_NETOGASPAR,DUT Neto,Alpine,01:37.974,0
18,BGR0910,Bruno,Haas,01:33.874,2
